SPCD,COMMON_NAME,GENUS,SPECIES,SPECIES_SYMBOL,SCI_SPEICES,TYPE
582,TWO-WING SILVERBELL,HALESIA,DIPTERA,HADI3,HALESIA DIPTERA,DECIDUOUS
583,LITTLE SILVERBELL,HALESIA,PARVIFLORA,HAPA2,HALESIA PARVIFLORA,DECIDUOUS
591,AMERICAN HOLLY,ILEX,OPACA,ILOP,ILEX OPACA,DECIDUOUS
600,WALNUT SPP.,JUGLANS,SPP.,JUGLA,JUGLANS SPP.,DECIDUOUS
601,BUTTERNUT,JUGLANS,CINEREA,JUCI,JUGLANS CINEREA,DECIDUOUS
602,BLACK WALNUT,JUGLANS,NIGRA,JUNI,JUGLANS NIGRA,DECIDUOUS
603,NORTHERN CALIFORNIA BLACK WALNUT,JUGLANS,HINDSII,JUHI,JUGLANS HINDSII,DECIDUOUS
604,SOUTHERN CALIFORNIA BLACK WALNUT,JUGLANS,CALIFORNICA,JUCA,JUGLANS CALIFORNICA,DECIDUOUS
605,TEXAS WALNUT,JUGLANS,MICROCARPA,JUMI,JUGLANS MICROCARPA,DECIDUOUS
606,ARIZONA WALNUT,JUGLANS,MAJOR,JUMA,JUGLANS MAJOR,DECIDUOUS
611,SWEETGUM,LIQUIDAMBAR,STYRACIFLUA,LIST2,LIQUIDAMBAR STYRACIFLUA,DECIDUOUS
621,YELLOW-POPLAR,LIRIODENDRON,TULIPIFERA,LITU,LIRIODENDRON TULIPIFERA,DECIDUOUS
631,TANOAK,LITHOCARPUS,DENSIFLORUS,LIDE3,LITHOCARPUS DENSIFLORUS,DECIDUOUS
641,OSAGE-ORANGE,MACLURA,POMIFERA,MAPO,MACLURA POMIFERA,DECIDUOUS
650,MAGNOLIA SPP.,MAGNOLIA,SPP.,MAGNO,MAGNOLIA SPP.,DECIDUOUS
651,CUCUMBERTREE,MAGNOLIA,ACUMINATA,MAAC,MAGNOLIA ACUMINATA,DECIDUOUS
652,SOUTHERN MAGNOLIA,MAGNOLIA,GRANDIFLORA,MAGR4,MAGNOLIA GRANDIFLORA,DECIDUOUS
653,SWEETBAY,MAGNOLIA,VIRGINIANA,MAVI2,MAGNOLIA VIRGINIANA,DECIDUOUS
654,BIGLEAF MAGNOLIA,MAGNOLIA,MACROPHYLLA,MAMA2,MAGNOLIA MACROPHYLLA,DECIDUOUS
655,MOUNTAIN OR FRASER MAGNOLIA,MAGNOLIA,FRASERI,MAFR,MAGNOLIA FRASERI,DECIDUOUS
657,PYRAMID MAGNOLIA,MAGNOLIA,PYRAMIDATA,MAPY,MAGNOLIA PYRAMIDATA,DECIDUOUS
658,UMBRELLA MAGNOLIA,MAGNOLIA,TRIPETALA,MATR,MAGNOLIA TRIPETALA,DECIDUOUS
660,APPLE SPP.,MALUS,SPP.,MALUS,MALUS SPP.,DECIDUOUS
661,OREGON CRAB APPLE,MALUS,FUSCA,MAFU,MALUS FUSCA,DECIDUOUS
662,SOUTHERN CRAB APPLE,MALUS,ANGUSTIFOLIA,MAAN3,MALUS ANGUSTIFOLIA,DECIDUOUS
663,SWEET CRAB APPLE,MALUS,CORONARIA,MACO5,MALUS CORONARIA,DECIDUOUS
664,PRAIRIE CRAB APPLE,MALUS,IOENSIS,MAIO,MALUS IOENSIS,DECIDUOUS
680,MULBERRY SPP.,MORUS,SPP.,MORUS,MORUS SPP.,DECIDUOUS
681,WHITE MULBERRY,MORUS,ALBA,MOAL,MORUS ALBA,DECIDUOUS
682,RED MULBERRY,MORUS,RUBRA,MORU2,MORUS RUBRA,DECIDUOUS
683,TEXAS MULBERRY,MORUS,MICROPHYLLA,MOMI,MORUS MICROPHYLLA,DECIDUOUS
684,BLACK MULBERRY,MORUS,NIGRA,MONI,MORUS NIGRA,DECIDUOUS
690,TUPELO SPP.,NYSSA,SPP.,NYSSA,NYSSA SPP.,DECIDUOUS
691,WATER TUPELO,NYSSA,AQUATICA,NYAQ2,NYSSA AQUATICA,DECIDUOUS
692,OGEECHEE TUPELO,NYSSA,OGECHE,NYOG,NYSSA OGECHE,DECIDUOUS
693,BLACKGUM,NYSSA,SYLVATICA,NYSY,NYSSA SYLVATICA,DECIDUOUS
694,SWAMP TUPELO,NYSSA,BIFLORA,NYBI,NYSSA BIFLORA,DECIDUOUS
701,EASTERN HOPHORNBEAM,OSTRYA,VIRGINIANA,OSVI,OSTRYA VIRGINIANA,DECIDUOUS
711,SOURWOOD,OXYDENDRUM,ARBOREUM,OXAR,OXYDENDRUM ARBOREUM,DECIDUOUS
712,"PAULOWNIA, EMPRESS-TREE",PAULOWNIA,TOMENTOSA,PATO2,PAULOWNIA TOMENTOSA,DECIDUOUS
715,MAYTENUS PALAUICA,MAYTENUS,PALAUICA,MAPA28,MAYTENUS PALAUICA,DECIDUOUS
718,KESIAMEL,OSMOXYLON,TRUNCATUM,OSTR,OSMOXYLON TRUNCATUM,DECIDUOUS
720,BAY SPP.,PERSEA,SPP.,PERSE,PERSEA SPP.,DECIDUOUS
721,REDBAY,PERSEA,BORBONIA,PEBO,PERSEA BORBONIA,DECIDUOUS
722,"WATER-ELM, PLANERTREE",PLANERA,AQUATICA,PLAQ,PLANERA AQUATICA,DECIDUOUS
729,SYCAMORE SPP.,PLATANUS,SPP.,PLATA,PLATANUS SPP.,DECIDUOUS
730,CALIFORNIA SYCAMORE,PLATANUS,RACEMOSA,PLRA,PLATANUS RACEMOSA,DECIDUOUS
731,AMERICAN SYCAMORE,PLATANUS,OCCIDENTALIS,PLOC,PLATANUS OCCIDENTALIS,DECIDUOUS
732,ARIZONA SYCAMORE,PLATANUS,WRIGHTII,PLWR2,PLATANUS WRIGHTII,DECIDUOUS
740,COTTONWOOD AND POPLAR SPP.,POPULUS,SPP.,POPUL,POPULUS SPP.,DECIDUOUS
741,BALSAM POPLAR,POPULUS,BALSAMIFERA,POBA2,POPULUS BALSAMIFERA,DECIDUOUS
742,EASTERN COTTONWOOD,POPULUS,DELTOIDES,PODE3,POPULUS DELTOIDES,DECIDUOUS
743,BIGTOOTH ASPEN,POPULUS,GRANDIDENTATA,POGR4,POPULUS GRANDIDENTATA,DECIDUOUS
744,SWAMP COTTONWOOD,POPULUS,HETEROPHYLLA,POHE4,POPULUS HETEROPHYLLA,DECIDUOUS
745,PLAINS COTTONWOOD,POPULUS,DELTOIDES,PODEM,POPULUS DELTOIDES,DECIDUOUS
746,QUAKING ASPEN,POPULUS,TREMULOIDES,POTR5,POPULUS TREMULOIDES,DECIDUOUS
747,BLACK COTTONWOOD,POPULUS,BALSAMIFERA,POBAT,POPULUS BALSAMIFERA,DECIDUOUS
748,FREMONT COTTONWOOD,POPULUS,FREMONTII,POFR2,POPULUS FREMONTII,DECIDUOUS
749,NARROWLEAF COTTONWOOD,POPULUS,ANGUSTIFOLIA,POAN3,POPULUS ANGUSTIFOLIA,DECIDUOUS
752,SILVER POPLAR,POPULUS,ALBA,POAL7,POPULUS ALBA,DECIDUOUS
753,LOMBARDY POPLAR,POPULUS,NIGRA,PONI,POPULUS NIGRA,DECIDUOUS
755,MESQUITE SPP.,PROSOPIS,SPP.,PROSO,PROSOPIS SPP.,DECIDUOUS
756,HONEY MESQUITE ,PROSOPIS,GLANDULOSA,PRGL2,PROSOPIS GLANDULOSA,DECIDUOUS
757,VELVET MESQUITE,PROSOPIS,VELUTINA,PRVE,PROSOPIS VELUTINA,DECIDUOUS
758,SCREWBEAN MESQUITE,PROSOPIS,PUBESCENS,PRPU,PROSOPIS PUBESCENS,DECIDUOUS
760,CHERRY AND PLUM SPP.,PRUNUS,SPP.,PRUNU,PRUNUS SPP.,DECIDUOUS
761,PIN CHERRY,PRUNUS,PENSYLVANICA,PRPE2,PRUNUS PENSYLVANICA,DECIDUOUS
762,BLACK CHERRY,PRUNUS,SEROTINA,PRSE2,PRUNUS SEROTINA,DECIDUOUS
763,CHOKECHERRY,PRUNUS,VIRGINIANA,PRVI,PRUNUS VIRGINIANA,DECIDUOUS
764,PEACH,PRUNUS,PERSICA,PRPE3,PRUNUS PERSICA,DECIDUOUS
765,CANADA PLUM,PRUNUS,NIGRA,PRNI,PRUNUS NIGRA,DECIDUOUS
766,AMERICAN PLUM,PRUNUS,AMERICANA,PRAM,PRUNUS AMERICANA,DECIDUOUS
768,BITTER CHERRY,PRUNUS,EMARGINATA,PREM,PRUNUS EMARGINATA,DECIDUOUS
769,ALLEGHENY PLUM,PRUNUS,ALLEGHANIENSIS,PRAL5,PRUNUS ALLEGHANIENSIS,DECIDUOUS
770,CHICKASAW PLUM,PRUNUS,ANGUSTIFOLIA,PRAN3,PRUNUS ANGUSTIFOLIA,DECIDUOUS
771,SWEET CHERRY,PRUNUS,AVIUM,PRAV,PRUNUS AVIUM,DECIDUOUS
772,SOUR CHERRY,PRUNUS,CERASUS,PRCE,PRUNUS CERASUS,DECIDUOUS
773,EUROPEAN PLUM,PRUNUS,DOMESTICA,PRDO,PRUNUS DOMESTICA,DECIDUOUS
774,MAHALEB CHERRY,PRUNUS,MAHALEB,PRMA,PRUNUS MAHALEB,DECIDUOUS
800,OAK SPP.,QUERCUS,SPP.,QUERC,QUERCUS SPP.,DECIDUOUS
801,CALIFORNIA LIVE OAK,QUERCUS,AGRIFOLIA,QUAG,QUERCUS AGRIFOLIA,DECIDUOUS
802,WHITE OAK,QUERCUS,ALBA,QUAL,QUERCUS ALBA,DECIDUOUS
803,ARIZONA WHITE OAK,QUERCUS,ARIZONICA,QUAR,QUERCUS ARIZONICA,DECIDUOUS
804,SWAMP WHITE OAK,QUERCUS,BICOLOR,QUBI,QUERCUS BICOLOR,DECIDUOUS
805,CANYON LIVE OAK,QUERCUS,CHRYSOLEPIS,QUCH2,QUERCUS CHRYSOLEPIS,DECIDUOUS
806,SCARLET OAK,QUERCUS,COCCINEA,QUCO2,QUERCUS COCCINEA,DECIDUOUS
807,BLUE OAK,QUERCUS,DOUGLASII,QUDO,QUERCUS DOUGLASII,DECIDUOUS
808,DURAND OAK,QUERCUS,SINUATA,QUSIS,QUERCUS SINUATA,DECIDUOUS
809,NORTHERN PIN OAK,QUERCUS,ELLIPSOIDALIS,QUEL,QUERCUS ELLIPSOIDALIS,DECIDUOUS
810,EMORY OAK,QUERCUS,EMORYI,QUEM,QUERCUS EMORYI,DECIDUOUS
811,ENGELMANN OAK,QUERCUS,ENGELMANNII,QUEN,QUERCUS ENGELMANNII,DECIDUOUS
812,SOUTHERN RED OAK,QUERCUS,FALCATA,QUFA,QUERCUS FALCATA,DECIDUOUS
813,CHERRYBARK OAK,QUERCUS,PAGODA,QUPA5,QUERCUS PAGODA,DECIDUOUS
814,GAMBEL OAK,QUERCUS,GAMBELII,QUGA,QUERCUS GAMBELII,DECIDUOUS
815,OREGON WHITE OAK,QUERCUS,GARRYANA,QUGA4,QUERCUS GARRYANA,DECIDUOUS
816,SCRUB OAK,QUERCUS,ILICIFOLIA,QUIL,QUERCUS ILICIFOLIA,DECIDUOUS
817,SHINGLE OAK,QUERCUS,IMBRICARIA,QUIM,QUERCUS IMBRICARIA,DECIDUOUS
818,CALIFORNIA BLACK OAK,QUERCUS,KELLOGGII,QUKE,QUERCUS KELLOGGII,DECIDUOUS
819,TURKEY OAK,QUERCUS,LAEVIS,QULA2,QUERCUS LAEVIS,DECIDUOUS
820,LAUREL OAK,QUERCUS,LAURIFOLIA,QULA3,QUERCUS LAURIFOLIA,DECIDUOUS
821,CALIFORNIA WHITE OAK,QUERCUS,LOBATA,QULO,QUERCUS LOBATA,DECIDUOUS
822,OVERCUP OAK,QUERCUS,LYRATA,QULY,QUERCUS LYRATA,DECIDUOUS
823,BUR OAK,QUERCUS,MACROCARPA,QUMA2,QUERCUS MACROCARPA,DECIDUOUS
824,BLACKJACK OAK,QUERCUS,MARILANDICA,QUMA3,QUERCUS MARILANDICA,DECIDUOUS
825,SWAMP CHESTNUT OAK,QUERCUS,MICHAUXII,QUMI,QUERCUS MICHAUXII,DECIDUOUS
826,CHINKAPIN OAK,QUERCUS,MUEHLENBERGII,QUMU,QUERCUS MUEHLENBERGII,DECIDUOUS
827,WATER OAK,QUERCUS,NIGRA,QUNI,QUERCUS NIGRA,DECIDUOUS
828,TEXAS RED OAK,QUERCUS,TEXANA,QUTE,QUERCUS TEXANA,DECIDUOUS
829,MEXICAN BLUE OAK,QUERCUS,OBLONGIFOLIA,QUOB,QUERCUS OBLONGIFOLIA,DECIDUOUS
830,PIN OAK,QUERCUS,PALUSTRIS,QUPA2,QUERCUS PALUSTRIS,DECIDUOUS
831,WILLOW OAK,QUERCUS,PHELLOS,QUPH,QUERCUS PHELLOS,DECIDUOUS
832,CHESTNUT OAK,QUERCUS,PRINUS,QUPR2,QUERCUS PRINUS,DECIDUOUS
833,NORTHERN RED OAK,QUERCUS,RUBRA,QURU,QUERCUS RUBRA,DECIDUOUS
834,SHUMARD OAK,QUERCUS,SHUMARDII,QUSH,QUERCUS SHUMARDII,DECIDUOUS
835,POST OAK,QUERCUS,STELLATA,QUST,QUERCUS STELLATA,DECIDUOUS
836,DELTA POST OAK,QUERCUS,SIMILIS,QUSI2,QUERCUS SIMILIS,DECIDUOUS
837,BLACK OAK,QUERCUS,VELUTINA,QUVE,QUERCUS VELUTINA,DECIDUOUS
838,LIVE OAK,QUERCUS,VIRGINIANA,QUVI,QUERCUS VIRGINIANA,DECIDUOUS
839,INTERIOR LIVE OAK,QUERCUS,WISLIZENI,QUWI2,QUERCUS WISLIZENI,DECIDUOUS
840,DWARF POST OAK,QUERCUS,MARGARETTIAE,QUMA6,QUERCUS MARGARETTIAE,DECIDUOUS
841,DWARF LIVE OAK,QUERCUS,MINIMA,QUMI2,QUERCUS MINIMA,DECIDUOUS
842,BLUEJACK OAK,QUERCUS,INCANA,QUIN,QUERCUS INCANA,DECIDUOUS
843,SILVERLEAF OAK,QUERCUS,HYPOLEUCOIDES,QUHY,QUERCUS HYPOLEUCOIDES,DECIDUOUS
844,OGLETHORPE OAK,QUERCUS,OGLETHORPENSIS,QUOG,QUERCUS OGLETHORPENSIS,DECIDUOUS
845,DWARF CHINKAPIN OAK,QUERCUS,PRINOIDES,QUPR,QUERCUS PRINOIDES,DECIDUOUS
846,GRAY OAK,QUERCUS,GRISEA,QUGR3,QUERCUS GRISEA,DECIDUOUS
847,NETLEAF OAK,QUERCUS,RUGOSA,QURU4,QUERCUS RUGOSA,DECIDUOUS
851,CHISOS OAK,QUERCUS,GRACILIFORMIS,QUGR,QUERCUS GRACILIFORMIS,DECIDUOUS
852,SEA TORCHWOOD,AMYRIS,ELEMIFERA,AMEL,AMYRIS ELEMIFERA,DECIDUOUS
853,POND-APPLE,ANNONA,GLABRA,ANGL4,ANNONA GLABRA,DECIDUOUS
854,GUMBO LIMBO,BURSERA,SIMARUBA,BUSI,BURSERA SIMARUBA,DECIDUOUS
855,SHEOAK SPP.,CASUARINA,SPP.,CASUA,CASUARINA SPP.,DECIDUOUS
856,GRAY SHEOAK,CASUARINA,GLAUCA,CAGL11,CASUARINA GLAUCA,DECIDUOUS
857,BELAH,CASUARINA,LEPIDOPHLOIA,CALE28,CASUARINA LEPIDOPHLOIA,DECIDUOUS
858,CAMPHORTREE,CINNAMOMUM,CAMPHORA,CICA,CINNAMOMUM CAMPHORA,DECIDUOUS
859,FLORIDA FIDDLEWOOD,CITHAREXYLUM,FRUTICOSUM,CIFR,CITHAREXYLUM FRUTICOSUM,DECIDUOUS
860,CITRUS SPP.,CITRUS,SPP.,CITRU2,CITRUS SPP.,DECIDUOUS
863,"TIETONGUE, PIGEON-PLUM",COCCOLOBA,DIVERSIFOLIA,CODI8,COCCOLOBA DIVERSIFOLIA,DECIDUOUS
864,SOLDIERWOOD,COLUBRINA,ELLIPTICA,COEL2,COLUBRINA ELLIPTICA,DECIDUOUS
865,LARGELEAF GEIGERTREE,CORDIA,SEBESTENA,COSE2,CORDIA SEBESTENA,DECIDUOUS
866,CARROTWOOD,CUPANIOPSIS,ANACARDIOIDES,CUAN4,CUPANIOPSIS ANACARDIOIDES,DECIDUOUS
867,BLUEWOOD,CONDALIA,HOOKERI,COHO,CONDALIA HOOKERI,DECIDUOUS
868,BLACKBEAD EBONY,EBENOPSIS,EBANO,EBEB,EBENOPSIS EBANO,DECIDUOUS
869,GREAT LEUCAENE,LEUCAENA,PULVERULENTA,LEPU3,LEUCAENA PULVERULENTA,DECIDUOUS
870,TEXAS SOPHORA,SOPHORA,AFFINIS,SOAF,SOPHORA AFFINIS,DECIDUOUS
873,RED STOPPER,EUGENIA,RHOMBEA,EURH,EUGENIA RHOMBEA,DECIDUOUS
874,"BUTTERBOUGH, INKWOOD",EXOTHEA,PANICULATA,EXPA,EXOTHEA PANICULATA,DECIDUOUS
876,FLORIDA STRANGLER FIG,FICUS,AUREA,FIAU,FICUS AUREA,DECIDUOUS
877,"WILD BANYANTREE, SHORTLEAF FIG",FICUS,CITRIFOLIA,FICI,FICUS CITRIFOLIA,DECIDUOUS
882,"BEEFTREE, LONGLEAF BLOLLY",GUAPIRA,DISCOLOR,GUDI,GUAPIRA DISCOLOR,DECIDUOUS
883,MANCHINEEL,HIPPOMANE,MANCINELLA,HIMA2,HIPPOMANE MANCINELLA,DECIDUOUS
884,FALSE TAMARIND,LYSILOMA,LATISILIQUUM,LYLA3,LYSILOMA LATISILIQUUM,DECIDUOUS
885,MANGO,MANGIFERA,INDICA,MAIN3,MANGIFERA INDICA,DECIDUOUS
886,FLORIDA POISONTREE,METOPIUM,TOXIFERUM,METO3,METOPIUM TOXIFERUM,DECIDUOUS
887,FISHPOISON TREE,PISCIDIA,PISCIPULA,PIPI3,PISCIDIA PISCIPULA,DECIDUOUS
888,"OCTOPUS TREE, SCHEFFLERA",SCHEFFLERA,ACTINOPHYLLA,SCAC2,SCHEFFLERA ACTINOPHYLLA,DECIDUOUS
890,FALSE MASTIC,SIDEROXYLON,FOETIDISSIMUM,SIFO,SIDEROXYLON FOETIDISSIMUM,DECIDUOUS
891,"WHITE BULLY, WILLOW BUSTIC",SIDEROXYLON,SALICIFOLIUM,SISA6,SIDEROXYLON SALICIFOLIUM,DECIDUOUS
895,PARADISETREE,SIMAROUBA,GLAUCA,SIGL3,SIMAROUBA GLAUCA,DECIDUOUS
896,JAVA PLUM,SYZYGIUM,CUMINI,SYCU,SYZYGIUM CUMINI,DECIDUOUS
897,TAMARIND,TAMARINDUS,INDICA,TAIN2,TAMARINDUS INDICA,DECIDUOUS
901,BLACK LOCUST,ROBINIA,PSEUDOACACIA,ROPS,ROBINIA PSEUDOACACIA,DECIDUOUS
902,NEW MEXICO LOCUST,ROBINIA,NEOMEXICANA,RONE,ROBINIA NEOMEXICANA,DECIDUOUS
906,"EVERGLADES PALM, PAUROTIS-PALM",ACOELORRAPHE,WRIGHTII,ACWR4,ACOELORRAPHE WRIGHTII,DECIDUOUS
907,FLORIDA SILVER PALM,COCCOTHRINAX,ARGENTATA,COAR,COCCOTHRINAX ARGENTATA,DECIDUOUS
908,COCONUT PALM,COCOS,NUCIFERA,CONU,COCOS NUCIFERA,DECIDUOUS
909,ROYAL PALM SPP.,ROYSTONEA,SPP.,ROYST,ROYSTONEA SPP.,DECIDUOUS
911,MEXICAN PALMETTO,SABAL,MEXICANA,SAME8,SABAL MEXICANA,DECIDUOUS
912,CABBAGE PALMETTO,SABAL,PALMETTO,SAPA,SABAL PALMETTO,DECIDUOUS
913,KEY THATCH PALM,THRINAX,MORRISII,THMO4,THRINAX MORRISII,DECIDUOUS
914,FLORIDA THATCH PALM,THRINAX,RADIATA,THRA2,THRINAX RADIATA,DECIDUOUS
915,OTHER PALMS,FAMILY ARECACEAE,NOT LISTED ABOVE,ARECA,FAMILY ARECACEAE NOT LISTED ABOVE,DECIDUOUS
919,WESTERN SOAPBERRY,SAPINDUS,SAPONARIA,SASAD,SAPINDUS SAPONARIA,DECIDUOUS
920,WILLOW SPP.,SALIX,SPP.,SALIX,SALIX SPP.,DECIDUOUS
921,PEACHLEAF WILLOW,SALIX,AMYGDALOIDES,SAAM2,SALIX AMYGDALOIDES,DECIDUOUS
922,BLACK WILLOW,SALIX,NIGRA,SANI,SALIX NIGRA,DECIDUOUS
923,BEBB WILLOW,SALIX,BEBBIANA,SABE2,SALIX BEBBIANA,DECIDUOUS
924,BONPLAND WILLOW,SALIX,BONPLANDIANA,SABO,SALIX BONPLANDIANA,DECIDUOUS
925,COASTAL PLAIN WILLOW,SALIX,CAROLINIANA,SACA5,SALIX CAROLINIANA,DECIDUOUS
926,BALSAM WILLOW,SALIX,PYRIFOLIA,SAPY,SALIX PYRIFOLIA,DECIDUOUS
927,WHITE WILLOW,SALIX,ALBA,SAAL2,SALIX ALBA,DECIDUOUS
928,SCOULER'S WILLOW,SALIX,SCOULERIANA,SASC,SALIX SCOULERIANA,DECIDUOUS
929,WEEPING WILLOW,SALIX,X SEPULCRALIS,SASE10,SALIX X SEPULCRALIS,DECIDUOUS
931,SASSAFRAS,SASSAFRAS,ALBIDUM,SAAL5,SASSAFRAS ALBIDUM,DECIDUOUS
934,MOUNTAIN-ASH SPP.,SORBUS,SPP.,SORBU,SORBUS SPP.,DECIDUOUS
935,AMERICAN MOUNTAIN-ASH,SORBUS,AMERICANA,SOAM3,SORBUS AMERICANA,DECIDUOUS
936,EUROPEAN MOUNTAIN-ASH,SORBUS,AUCUPARIA,SOAU,SORBUS AUCUPARIA,DECIDUOUS
937,NORTHERN MOUNTAIN-ASH,SORBUS,DECORA,SODE3,SORBUS DECORA,DECIDUOUS
940,WEST INDIAN MAHOGANY,SWIETENIA,MAHAGONI,SWMA2,SWIETENIA MAHAGONI,DECIDUOUS
950,BASSWOOD SPP.,TILIA,SPP.,TILIA,TILIA SPP.,DECIDUOUS
951,AMERICAN BASSWOOD,TILIA,AMERICANA,TIAM,TILIA AMERICANA,DECIDUOUS
952,WHITE BASSWOOD,TILIA,AMERICANA,TIAMH,TILIA AMERICANA,DECIDUOUS
953,CAROLINA BASSWOOD,TILIA,AMERICANA,TIAMC,TILIA AMERICANA,DECIDUOUS
970,ELM SPP.,ULMUS,SPP.,ULMUS,ULMUS SPP.,DECIDUOUS
971,WINGED ELM,ULMUS,ALATA,ULAL,ULMUS ALATA,DECIDUOUS
972,AMERICAN ELM,ULMUS,AMERICANA,ULAM,ULMUS AMERICANA,DECIDUOUS
973,CEDAR ELM,ULMUS,CRASSIFOLIA,ULCR,ULMUS CRASSIFOLIA,DECIDUOUS
974,SIBERIAN ELM,ULMUS,PUMILA,ULPU,ULMUS PUMILA,DECIDUOUS
975,SLIPPERY ELM,ULMUS,RUBRA,ULRU,ULMUS RUBRA,DECIDUOUS
976,SEPTEMBER ELM,ULMUS,SEROTINA,ULSE,ULMUS SEROTINA,DECIDUOUS
977,ROCK ELM,ULMUS,THOMASII,ULTH,ULMUS THOMASII,DECIDUOUS
981,CALIFORNIA LAUREL,UMBELLULARIA,CALIFORNICA,UMCA,UMBELLULARIA CALIFORNICA,DECIDUOUS
982,JOSHUA TREE,YUCCA,BREVIFOLIA,YUBR,YUCCA BREVIFOLIA,DECIDUOUS
986,BLACK MANGROVE,AVICENNIA,GERMINANS,AVGE,AVICENNIA GERMINANS,DECIDUOUS
987,BUTTONWOOD-MANGROVE,CONOCARPUS,ERECTUS,COER2,CONOCARPUS ERECTUS,DECIDUOUS
988,WHITE MANGROVE,LAGUNCULARIA,RACEMOSA,LARA2,LAGUNCULARIA RACEMOSA,DECIDUOUS
989,AMERICAN MANGROVE,RHIZOPHORA,MANGLE,RHMA2,RHIZOPHORA MANGLE,DECIDUOUS
990,DESERT IRONWOOD,OLNEYA,TESOTA,OLTE,OLNEYA TESOTA,DECIDUOUS
991,SALTCEDAR,TAMARIX,SPP.,TAMAR2,TAMARIX SPP.,DECIDUOUS
992,MELALEUCA,MELALEUCA,QUINQUENERVIA,MEQU,MELALEUCA QUINQUENERVIA,DECIDUOUS
993,CHINABERRY,MELIA,AZEDARACH,MEAZ,MELIA AZEDARACH,DECIDUOUS
994,CHINESE TALLOWTREE,TRIADICA,SEBIFERA,TRSE6,TRIADICA SEBIFERA,DECIDUOUS
995,TUNGOIL TREE,VERNICIA,FORDII,VEFO,VERNICIA FORDII,DECIDUOUS
996,SMOKETREE,COTINUS,OBOVATUS,COOB2,COTINUS OBOVATUS,DECIDUOUS
997,RUSSIAN-OLIVE,ELAEAGNUS,ANGUSTIFOLIA,ELAN,ELAEAGNUS ANGUSTIFOLIA,DECIDUOUS
998,UNKNOWN DEAD HARDWOOD,TREE,BROADLEAF,2TB,TREE BROADLEAF,DECIDUOUS
999,OTHER OR UNKNOWN LIVE TREE,TREE,UNKNOWN,2TREE,TREE UNKNOWN,DECIDUOUS
