SPCD,COMMON_NAME,GENUS,SPECIES,SPECIES_SYMBOL,SCI_SPEICES,TYPE
104,FOXTAIL PINE,PINUS,BALFOURIANA,PIBA,PINUS BALFOURIANA,EVERGREEN
105,JACK PINE,PINUS,BANKSIANA,PIBA2,PINUS BANKSIANA,EVERGREEN
106,COMMON OR TWO-NEEDLE PINYON,PINUS,EDULIS,PIED,PINUS EDULIS,EVERGREEN
107,SAND PINE,PINUS,CLAUSA,PICL,PINUS CLAUSA,EVERGREEN
108,LODGEPOLE PINE,PINUS,CONTORTA,PICO,PINUS CONTORTA,EVERGREEN
109,COULTER PINE,PINUS,COULTERI,PICO3,PINUS COULTERI,EVERGREEN
110,SHORTLEAF PINE,PINUS,ECHINATA,PIEC2,PINUS ECHINATA,EVERGREEN
111,SLASH PINE,PINUS,ELLIOTTII,PIEL,PINUS ELLIOTTII,EVERGREEN
112,APACHE PINE,PINUS,ENGELMANNII,PIEN2,PINUS ENGELMANNII,EVERGREEN
113,LIMBER PINE,PINUS,FLEXILIS,PIFL2,PINUS FLEXILIS,EVERGREEN
114,SOUTHWESTERN WHITE PINE ,PINUS,STROBIFORMIS,PIST3,PINUS STROBIFORMIS,EVERGREEN
115,SPRUCE PINE,PINUS,GLABRA,PIGL2,PINUS GLABRA,EVERGREEN
116,JEFFREY PINE,PINUS,JEFFREYI,PIJE,PINUS JEFFREYI,EVERGREEN
117,SUGAR PINE,PINUS,LAMBERTIANA,PILA,PINUS LAMBERTIANA,EVERGREEN
118,CHIHUAHUAN PINE,PINUS,LEIOPHYLLA,PILE,PINUS LEIOPHYLLA,EVERGREEN
119,WESTERN WHITE PINE,PINUS,MONTICOLA,PIMO3,PINUS MONTICOLA,EVERGREEN
120,BISHOP PINE,PINUS,MURICATA,PIMU,PINUS MURICATA,EVERGREEN
121,LONGLEAF PINE,PINUS,PALUSTRIS,PIPA2,PINUS PALUSTRIS,EVERGREEN
122,PONDEROSA PINE,PINUS,PONDEROSA,PIPO,PINUS PONDEROSA,EVERGREEN
123,TABLE MOUNTAIN PINE,PINUS,PUNGENS,PIPU5,PINUS PUNGENS,EVERGREEN
124,MONTEREY PINE,PINUS,RADIATA,PIRA2,PINUS RADIATA,EVERGREEN
125,RED PINE,PINUS,RESINOSA,PIRE,PINUS RESINOSA,EVERGREEN
126,PITCH PINE,PINUS,RIGIDA,PIRI,PINUS RIGIDA,EVERGREEN
127,GRAY OR CALIFORNIA FOOTHILL PINE,PINUS,SABINIANA,PISA2,PINUS SABINIANA,EVERGREEN
