"SpeciesPLANTS","SPCD","GENUS","FIA_TYPE","LEAF_RETEN","R3_SHADE_TOL","R3_DIA_MEAS"
"QUCH2",805,"QUERCUS","DECIDUOUS","EVERGREEN","INT","DRC"
"QUCO2",806,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUDO",807,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUEL",809,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUEM",810,"QUERCUS","DECIDUOUS","EVERGREEN","INT","DRC"
"QUEN",811,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUERC",800,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUFA",812,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUGA",814,"QUERCUS","DECIDUOUS","DECIDUOUS","INT","DRC"
"QUGA4",815,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUGR",851,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUGR3",846,"QUERCUS","DECIDUOUS","EVERGREEN","INT","DRC"
"QUHY",843,"QUERCUS","DECIDUOUS","EVERGREEN","INT","DRC"
"QUIL",816,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUIM",817,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUIN",842,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUKE",818,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QULA2",819,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QULA3",820,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QULO",821,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QULY",822,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUMA2",823,"QUERCUS","DECIDUOUS","DECIDUOUS","INT","DRC"
"QUMA3",824,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUMA6",840,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUMI",825,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUMI2",841,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUMU",826,"QUERCUS","DECIDUOUS","DECIDUOUS","INT","DRC"
"QUNI",827,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUOB",829,"QUERCUS","DECIDUOUS","EVERGREEN","INT","DRC"
"QUOG",844,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUPA2",830,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUPA5",813,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUPH",831,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUPR",845,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUPR2",832,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QURU",833,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QURU4",847,"QUERCUS","DECIDUOUS","EVERGREEN","INT","DRC"
"QUSH",834,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUSI2",836,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUSIS",808,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUST",835,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUTE",828,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUVE",837,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUVI",838,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"QUWI2",839,"QUERCUS","DECIDUOUS","DECIDUOUS",NA,NA
"RHMA2",989,"RHIZOPHORA","DECIDUOUS","DECIDUOUS",NA,NA
"RONE",902,"ROBINIA","DECIDUOUS","DECIDUOUS","INT","DRC"
"ROPS",901,"ROBINIA","DECIDUOUS","DECIDUOUS",NA,NA
"ROYST",909,"ROYSTONEA","DECIDUOUS","DECIDUOUS",NA,NA
"SAAL2",927,"SALIX","DECIDUOUS","DECIDUOUS",NA,NA
"SAAL5",931,"SASSAFRAS","DECIDUOUS","DECIDUOUS",NA,NA
"SAAM2",921,"SALIX","DECIDUOUS","DECIDUOUS",NA,NA
"SABE2",923,"SALIX","DECIDUOUS","DECIDUOUS",NA,NA
"SABO",924,"SALIX","DECIDUOUS","DECIDUOUS","INT","DRC"
"SACA5",925,"SALIX","DECIDUOUS","DECIDUOUS",NA,NA
"SALIX",920,"SALIX","DECIDUOUS","DECIDUOUS",NA,NA
"SAME8",911,"SABAL","DECIDUOUS","DECIDUOUS",NA,NA
"SANI",922,"SALIX","DECIDUOUS","DECIDUOUS","INT","DRC"
"SAPA",912,"SABAL","DECIDUOUS","DECIDUOUS",NA,NA
"SAPY",926,"SALIX","DECIDUOUS","DECIDUOUS",NA,NA
"SASAD",919,"SAPINDUS","DECIDUOUS","DECIDUOUS",NA,NA
"SASC",928,"SALIX","DECIDUOUS","DECIDUOUS",NA,NA
"SASE10",929,"SALIX","DECIDUOUS","DECIDUOUS",NA,NA
"SCAC2",888,"SCHEFFLERA","DECIDUOUS","DECIDUOUS",NA,NA
"SEGI2",212,"SEQUOIADENDRON","EVERGREEN","EVERGREEN",NA,NA
"SESE3",211,"SEQUOIA","EVERGREEN","EVERGREEN",NA,NA
"SIFO",890,"SIDEROXYLON","DECIDUOUS","DECIDUOUS",NA,NA
"SIGL3",895,"SIMAROUBA","DECIDUOUS","DECIDUOUS",NA,NA
"SILAL3",381,"SIDEROXYLON","DECIDUOUS","DECIDUOUS",NA,NA
"SISA6",891,"SIDEROXYLON","DECIDUOUS","DECIDUOUS",NA,NA
"SOAF",870,"SOPHORA","DECIDUOUS","DECIDUOUS",NA,NA
"SOAM3",935,"SORBUS","DECIDUOUS","DECIDUOUS",NA,NA
"SOAU",936,"SORBUS","DECIDUOUS","DECIDUOUS",NA,NA
"SODE3",937,"SORBUS","DECIDUOUS","DECIDUOUS",NA,NA
"SORBU",934,"SORBUS","DECIDUOUS","DECIDUOUS",NA,NA
"SWMA2",940,"SWIETENIA","DECIDUOUS","DECIDUOUS",NA,NA
"SYCU",896,"SYZYGIUM","DECIDUOUS","DECIDUOUS",NA,NA
"TAAS",222,"TAXODIUM","EVERGREEN","EVERGREEN",NA,NA
"TABR2",231,"TAXUS","EVERGREEN","EVERGREEN",NA,NA
"TADI2",221,"TAXODIUM","EVERGREEN","EVERGREEN",NA,NA
"TAFL",232,"TAXUS","EVERGREEN","EVERGREEN",NA,NA
"TAIN2",897,"TAMARINDUS","DECIDUOUS","DECIDUOUS",NA,NA
"TAMAR2",991,"TAMARIX","DECIDUOUS","DECIDUOUS",NA,NA
"TAMU",223,"TAXODIUM","EVERGREEN","EVERGREEN",NA,NA
"TAXOD",220,"TAXODIUM","EVERGREEN","EVERGREEN",NA,NA
"TAXUS",230,"TAXUS","EVERGREEN","EVERGREEN",NA,NA
"THMO4",913,"THRINAX","DECIDUOUS","DECIDUOUS",NA,NA
"THOC2",241,"THUJA","EVERGREEN","EVERGREEN",NA,NA
"THPL",242,"THUJA","EVERGREEN","EVERGREEN",NA,NA
"THRA2",914,"THRINAX","DECIDUOUS","DECIDUOUS",NA,NA
"THUJA",240,"THUJA","EVERGREEN","EVERGREEN",NA,NA
"TIAM",951,"TILIA","DECIDUOUS","DECIDUOUS",NA,NA
"TIAMC",953,"TILIA","DECIDUOUS","DECIDUOUS",NA,NA
"TIAMH",952,"TILIA","DECIDUOUS","DECIDUOUS",NA,NA
"TILIA",950,"TILIA","DECIDUOUS","DECIDUOUS",NA,NA
"TOCA",251,"TORREYA","EVERGREEN","EVERGREEN",NA,NA
"TORRE",250,"TORREYA","EVERGREEN","EVERGREEN",NA,NA
"TOTA",252,"TORREYA","EVERGREEN","EVERGREEN",NA,NA
"TRSE6",994,"TRIADICA","DECIDUOUS","DECIDUOUS",NA,NA
"TSCA",261,"TSUGA","EVERGREEN","EVERGREEN",NA,NA
"TSCA2",262,"TSUGA","EVERGREEN","EVERGREEN",NA,NA
"TSHE",263,"TSUGA","EVERGREEN","EVERGREEN",NA,NA
"TSME",264,"TSUGA","EVERGREEN","EVERGREEN",NA,NA
"TSUGA",260,"TSUGA","EVERGREEN","EVERGREEN",NA,NA
"ULAL",971,"ULMUS","DECIDUOUS","DECIDUOUS",NA,NA
"ULAM",972,"ULMUS","DECIDUOUS","DECIDUOUS",NA,NA
"ULCR",973,"ULMUS","DECIDUOUS","DECIDUOUS",NA,NA
"ULMUS",970,"ULMUS","DECIDUOUS","DECIDUOUS",NA,NA
"ULPU",974,"ULMUS","DECIDUOUS","DECIDUOUS",NA,NA
"ULRU",975,"ULMUS","DECIDUOUS","DECIDUOUS",NA,NA
"ULSE",976,"ULMUS","DECIDUOUS","DECIDUOUS",NA,NA
"ULTH",977,"ULMUS","DECIDUOUS","DECIDUOUS",NA,NA
"UMCA",981,"UMBELLULARIA","DECIDUOUS","DECIDUOUS",NA,NA
"VEFO",995,"VERNICIA","DECIDUOUS","DECIDUOUS",NA,NA
"YUBR",982,"YUCCA","DECIDUOUS","DECIDUOUS",NA,NA
