"SpeciesPLANTS","SPCD","GENUS","FIA_TYPE","LEAF_RETEN","R3_SHADE_TOL","R3_DIA_MEAS"
"CAGL8",403,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CAIL2",404,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CALA21",405,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CALE28",857,"CASUARINA","DECIDUOUS","DECIDUOUS",NA,NA
"CAMO83",424,"CASTANEA","DECIDUOUS","DECIDUOUS",NA,NA
"CAMY",406,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CAOV2",407,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CAOV3",412,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CAPA24",410,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CAPU9",422,"CASTANEA","DECIDUOUS","DECIDUOUS",NA,NA
"CAPUO",423,"CASTANEA","DECIDUOUS","DECIDUOUS",NA,NA
"CARYA",400,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CASP8",452,"CATALPA","DECIDUOUS","DECIDUOUS","INT","DBH"
"CASTA",420,"CASTANEA","DECIDUOUS","DECIDUOUS",NA,NA
"CASUA",855,"CASUARINA","DECIDUOUS","DECIDUOUS",NA,NA
"CATAL",450,"CATALPA","DECIDUOUS","DECIDUOUS",NA,NA
"CATE9",408,"CARYA","DECIDUOUS","DECIDUOUS",NA,NA
"CECA4",471,"CERCIS","DECIDUOUS","DECIDUOUS",NA,NA
"CELA",461,"CELTIS","DECIDUOUS","DECIDUOUS",NA,NA
"CELAR",463,"CELTIS","DECIDUOUS","DECIDUOUS","INT","DRC"
"CELE3",475,"CERCOCARPUS","DECIDUOUS","DECIDUOUS",NA,NA
"CELTI",460,"CELTIS","DECIDUOUS","DECIDUOUS",NA,NA
"CEOC",462,"CELTIS","DECIDUOUS","DECIDUOUS","INT","DRC"
"CHAMA4",40,"CHAMAECYPARIS","EVERGREEN","EVERGREEN",NA,NA
"CHCHC4",431,"CHRYSOLEPIS","DECIDUOUS","DECIDUOUS",NA,NA
"CHLA",41,"CHAMAECYPARIS","EVERGREEN","EVERGREEN",NA,NA
"CHNO",42,"CHAMAECYPARIS","EVERGREEN","EVERGREEN",NA,NA
"CHTH2",43,"CHAMAECYPARIS","EVERGREEN","EVERGREEN",NA,NA
"CICA",858,"CINNAMOMUM","DECIDUOUS","DECIDUOUS",NA,NA
"CIFR",859,"CITHAREXYLUM","DECIDUOUS","DECIDUOUS",NA,NA
"CITRU2",860,"CITRUS","DECIDUOUS","DECIDUOUS",NA,NA
"CLKE",481,"CLADRASTIS","DECIDUOUS","DECIDUOUS",NA,NA
"COAR",907,"COCCOTHRINAX","DECIDUOUS","DECIDUOUS",NA,NA
"CODI8",863,"COCCOLOBA","DECIDUOUS","DECIDUOUS",NA,NA
"COEL2",864,"COLUBRINA","DECIDUOUS","DECIDUOUS",NA,NA
"COER2",987,"CONOCARPUS","DECIDUOUS","DECIDUOUS",NA,NA
"COFL2",491,"CORNUS","DECIDUOUS","DECIDUOUS",NA,NA
"COHO",867,"CONDALIA","DECIDUOUS","DECIDUOUS",NA,NA
"CONU",908,"COCOS","DECIDUOUS","DECIDUOUS",NA,NA
"CONU4",492,"CORNUS","DECIDUOUS","DECIDUOUS",NA,NA
"COOB2",996,"COTINUS","DECIDUOUS","DECIDUOUS",NA,NA
"CORNU",490,"CORNUS","DECIDUOUS","DECIDUOUS",NA,NA
"COSE2",865,"CORDIA","DECIDUOUS","DECIDUOUS",NA,NA
"CRATA",500,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRBR3",503,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRCA",504,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRCH",505,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRCR2",501,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRDI",506,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRFL",507,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRMO2",502,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRMO3",508,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CRPE",509,"CRATAEGUS","DECIDUOUS","DECIDUOUS",NA,NA
"CUAN4",866,"CUPANIOPSIS","DECIDUOUS","DECIDUOUS",NA,NA
"CUAR",51,"CUPRESSUS","EVERGREEN","EVERGREEN","INT","DRC"
"CUBA",52,"CUPRESSUS","EVERGREEN","EVERGREEN",NA,NA
"CUFO2",53,"CUPRESSUS","EVERGREEN","EVERGREEN",NA,NA
"CUMA",56,"CUPRESSUS","EVERGREEN","EVERGREEN",NA,NA
"CUMA2",54,"CUPRESSUS","EVERGREEN","EVERGREEN",NA,NA
"CUPRE",50,"CUPRESSUS","EVERGREEN","EVERGREEN",NA,NA
"CUSA3",55,"CUPRESSUS","EVERGREEN","EVERGREEN",NA,NA
"DIOSP",520,"DIOSPYROS","DECIDUOUS","DECIDUOUS",NA,NA
"DITE3",522,"DIOSPYROS","DECIDUOUS","DECIDUOUS",NA,NA
"DIVI5",521,"DIOSPYROS","DECIDUOUS","DECIDUOUS",NA,NA
"EBEB",868,"EBENOPSIS","DECIDUOUS","DECIDUOUS",NA,NA
"EHAN",523,"EHRETIA","DECIDUOUS","DECIDUOUS",NA,NA
"ELAN",997,"ELAEAGNUS","DECIDUOUS","DECIDUOUS","INT",NA
"EUCA2",512,"EUCALYPTUS","DECIDUOUS","DECIDUOUS",NA,NA
"EUCAL",510,"EUCALYPTUS","DECIDUOUS","DECIDUOUS",NA,NA
"EUGL",511,"EUCALYPTUS","DECIDUOUS","DECIDUOUS",NA,NA
"EUGR12",513,"EUCALYPTUS","DECIDUOUS","DECIDUOUS",NA,NA
"EURH",873,"EUGENIA","DECIDUOUS","DECIDUOUS",NA,NA
"EURO2",514,"EUCALYPTUS","DECIDUOUS","DECIDUOUS",NA,NA
"EXPA",874,"EXOTHEA","DECIDUOUS","DECIDUOUS",NA,NA
"FAGR",531,"FAGUS","DECIDUOUS","DECIDUOUS",NA,NA
"FIAU",876,"FICUS","DECIDUOUS","DECIDUOUS",NA,NA
"FICI",877,"FICUS","DECIDUOUS","DECIDUOUS",NA,NA
"FRAM2",541,"FRAXINUS","DECIDUOUS","DECIDUOUS",NA,NA
"FRAXI",540,"FRAXINUS","DECIDUOUS","DECIDUOUS",NA,NA
"FRCA3",548,"FRAXINUS","DECIDUOUS","DECIDUOUS",NA,NA
"FRLA",542,"FRAXINUS","DECIDUOUS","DECIDUOUS",NA,NA
